geoid,year,total_pop,snap_accepting_count,snap_rate
06037101122,2023,4247,1,2.3546033
06037101220,2023,3583,3,8.3728724
06037101221,2023,3723,1,2.6860058
06037101222,2023,2690,2,7.4349442
06037101300,2023,4068,5,12.291052
06037101400,2023,3372,3,8.8967972
06037102107,2023,3920,1,2.5510204
06037103102,2023,4692,4,8.5251493
06037103201,2023,4179,3,7.178751
06037103202,2023,2082,1,4.8030739
06037103300,2023,3842,2,5.2056222
06037103401,2023,2643,1,3.7835793
06037103402,2023,3902,4,10.251153
06037104108,2023,5138,7,13.623979
06037104124,2023,3889,1,2.5713551
06037104201,2023,4599,3,6.5231571
06037104203,2023,5178,2,3.8624952
06037104204,2023,3749,3,8.0021343
06037104310,2023,4875,1,2.0512822
06037104321,2023,3115,4,12.841091
06037104322,2023,1892,2,10.570825
06037104401,2023,3066,1,3.2615786
06037104403,2023,2724,2,7.342144
06037104404,2023,3413,6,17.579842
06037104500,2023,3119,1,3.2061558
06037104610,2023,3274,1,3.0543678
06037104620,2023,3490,1,2.8653295
06037104701,2023,3812,1,2.6232948
06037104704,2023,4487,3,6.6859818
06037104822,2023,2668,4,14.992504
06037104824,2023,2781,2,7.1916575
06037106010,2023,3494,1,2.8620493
06037106113,2023,3797,2,5.2673163
06037106114,2023,6658,2,3.0039051
06037106403,2023,3501,4,11.425307
06037106405,2023,4405,1,2.2701476
06037106406,2023,6360,3,4.7169809
06037106407,2023,2558,4,15.637217
06037106408,2023,3749,1,2.6673779
06037106510,2023,5738,3,5.2283025
06037106604,2023,3749,2,5.3347559
06037106646,2023,3002,1,3.3311126
06037106648,2023,4570,3,6.5645514
06037106649,2023,2816,1,3.5511363
06037107010,2023,3118,3,9.6215525
06037107020,2023,5337,1,1.8737118
06037108102,2023,3439,3,8.7234659
06037108204,2023,1831,3,16.384489
06037109100,2023,2558,2,7.8186083
06037109200,2023,2863,1,3.4928396
06037109300,2023,2846,3,10.54111
06037109500,2023,4238,4,9.4384146
06037109603,2023,4235,1,2.3612752
06037109604,2023,2812,7,24.893314
06037109800,2023,4766,2,4.1963911
06037111100,2023,3058,1,3.2701111
06037111201,2023,3462,6,17.331022
06037111202,2023,5749,5,8.6971645
06037111205,2023,3761,2,5.3177347
06037111206,2023,4361,4,9.1722078
06037111302,2023,4895,2,4.0858016
06037111303,2023,4975,8,16.080402
06037111304,2023,2987,3,10.043522
06037111401,2023,2265,2,8.8300219
06037111402,2023,6294,2,3.1776295
06037113101,2023,3580,1,2.7932961
06037113102,2023,2717,3,11.04159
06037113212,2023,3163,4,12.646222
06037113213,2023,5176,1,1.9319938
06037113231,2023,2230,1,4.4843049
06037113232,2023,4973,2,4.0217171
06037113234,2023,5371,2,3.7237015
06037113237,2023,5130,3,5.8479533
06037113238,2023,4165,1,2.4009604
06037113239,2023,2354,1,4.2480884
06037113301,2023,4293,6,13.97624
06037113303,2023,3899,4,10.259041
06037113322,2023,4405,3,6.8104424
06037113323,2023,3884,2,5.1493306
06037113324,2023,2931,1,3.4118049
06037113423,2023,3259,1,3.0684259
06037113424,2023,3256,5,15.356265
06037113425,2023,4561,2,4.3850031
06037113426,2023,2412,2,8.2918739
06037113428,2023,4026,3,7.4515648
06037115101,2023,5031,3,5.9630294
06037115103,2023,3037,3,9.8781691
06037115202,2023,5975,2,3.3472803
06037115203,2023,2101,1,4.7596383
06037115204,2023,3957,2,5.0543342
06037115301,2023,4677,2,4.2762456
06037115302,2023,3645,6,16.460905
06037115401,2023,6186,2,3.2331071
06037115403,2023,3373,4,11.858879
06037115404,2023,2796,2,7.1530757
06037117101,2023,5130,1,1.9493177
06037117102,2023,2661,1,3.7579858
06037117201,2023,4608,1,2.1701388
06037117202,2023,2840,1,3.5211267
06037117302,2023,4746,5,10.535188
06037117303,2023,4510,3,6.6518846
06037117404,2023,5466,2,3.6589828
06037117405,2023,3406,4,11.743981
06037117407,2023,3702,1,2.7012427
06037117408,2023,2592,1,3.8580246
06037117510,2023,3878,1,2.5786488
06037117520,2023,4322,2,4.6274872
06037117530,2023,6195,2,3.22841
06037119004,2023,3398,2,5.8858151
06037119201,2023,4325,2,4.6242776
06037119202,2023,4895,4,8.1716032
06037119310,2023,3893,1,2.5687132
06037119341,2023,2670,1,3.7453184
06037119801,2023,2608,1,3.8343558
06037119900,2023,4837,1,2.0673971
06037120020,2023,3945,2,5.0697083
06037120030,2023,2448,4,16.339869
06037120104,2023,2308,5,21.663778
06037120105,2023,2645,6,22.684311
06037120107,2023,4222,2,4.7370915
06037120300,2023,4982,2,4.014452
06037120400,2023,6155,7,11.372868
06037121010,2023,5243,5,9.5365248
06037121020,2023,3626,1,2.7578599
06037121101,2023,3088,3,9.7150259
06037121102,2023,2273,5,21.99736
06037121210,2023,3109,2,6.4329367
06037121802,2023,3017,5,16.572754
06037121900,2023,3548,3,8.4554682
06037122000,2023,4940,3,6.0728745
06037122120,2023,5342,2,3.743916
06037122122,2023,2556,4,15.649452
06037122410,2023,3615,1,2.7662518
06037122420,2023,5077,4,7.8786683
06037123010,2023,4112,2,4.8638134
06037123103,2023,3997,10,25.018764
06037123104,2023,4565,3,6.5717416
06037123203,2023,3089,3,9.7118807
06037123204,2023,3281,1,3.0478513
06037123206,2023,2289,2,8.7374401
06037123301,2023,4302,6,13.947001
06037123303,2023,2996,6,20.026703
06037123304,2023,4467,3,6.7159166
06037123410,2023,3826,2,5.2273917
06037123420,2023,4731,7,14.796026
06037123510,2023,5079,5,9.8444576
06037123520,2023,2700,2,7.4074073
06037123602,2023,3412,1,2.9308324
06037123700,2023,4474,2,4.4702725
06037123800,2023,5753,3,5.2146707
06037123901,2023,4158,4,9.6200094
06037124000,2023,4836,5,10.339123
06037124102,2023,3597,3,8.3402834
